r, true, experiment
1.5,  -1.0066304034616804,  -1.007944538254161
0.35,  -0.8005095231150423,  -0.7782287869564899
0.45,  -1.0090086249753596,  -0.998842492145526
2.0,  -0.9576117229960116,  -0.953946892165502
0.2,  0.1442108747311382,  0.16074637173761178
1.25,  -1.0534371372280913,  -1.0499706267636737
1.55,  -0.999024596529867,  -0.9950159911830004
0.55,  -1.1022968998091114, -1.0951858377265375
0.7,  -1.1449518561275118,  -1.1254321335019668
0.25,  -0.3239354753254609,  -0.30733932750842674
1.9,  -0.9632910274850663,  -0.9609242218565771
2.85,  -0.9429293235489895,  -0.9413606688500802
1.45,  -1.0148219637906388, -1.0173662682001385
1.35,  -1.0329255626795484,  -1.0374754195218594
2.5,  -0.9448669090603318,  -0.9450560101029404
1.0,  -1.1088894817596542,  -1.1124796550781642
1.3,  -1.0429909176307628, -1.0465437352864657
2.6,  -0.9441460761802778,  -0.9423167609175093
1.95,  -0.9603380642016857,  -0.9594963814903552
2.25,  -0.9490056352051295,  -0.9469107629064508
2.55,  -0.944544970980179,  -0.9413808352872168
0.85,  -1.1366197707399515,  -1.1429718138645333
0.4,  -0.9252580817605963,  -0.9048156927312596
1.85,  -0.9668194250398201,  -0.9668399481162354
2.3,  -0.9478686468761977,  -0.9474090112414678
0.95,  -1.11929731061878, -1.125982106547779
1.6,  -0.9922208295295207,  -0.9956699392440767
0.8,  -1.1426275996357373,  -1.1309335990811373
2.45,  -0.9454307947133701,  -0.9451841070304523
2.35,  -0.9469689234886285,  -0.9439087674711772
2.4,  -0.9461560561584954,  -0.9452519483173527
1.1,  -1.0868155659324854,  -1.0976923115147112
1.8,  -0.9708063813726302,  -0.9772704720021193
2.15,  -0.9515983821584779,  -0.9503159761124749
0.6,  -1.1255870371941183,  -1.1095477850497129
2.65,  -0.9438417682698376,  -0.9412173649868284
2.8,  -0.9431717178456402,  -0.940924688988963
0.3,  -0.6129039934108024,  -0.5900121321518863
2.75,  -0.9432234998867722,  -0.9414513755835272
2.05,  -0.9552226828746918,  -0.9562462378940169
1.4,  -1.0235793844779455,  -1.0240174816679242
2.1,  -0.953433481076329,  -0.9557183439242936
0.9,  -1.1285246121015233,  -1.1246074754791802
0.75,  -1.1455985374846125,  -1.1392705858142973
2.2,  -0.9501822397766282,  -0.9509961216062854
1.7,  -0.9800155269872984,  -0.9852001698630409
1.15,  -1.0753656599951444,  -1.069115216215917
1.65,  -0.9858019801897505,  -0.9841131495930767
0.5,  -1.0653912902153568,  -1.0456490933862541
0.65,  -1.1389408436501118,  -1.1307052010448557
1.2,  -1.0642022250418146,  -1.0770302943090073
1.75,  -0.9751547052866764,  -0.979786861841676
2.7,  -0.9436642235552212,  -0.9415748471242547
1.05,  -1.0980083757150465,  -1.112064758964839
